,xycoordinate,descrption,details,grade,timestamp,player_id,teamid,home_teamid,away_teamid,name,player_number,home_score,away_score,block,attack_combo,match_id,start_coordinate,mid_coordinate,end_coordinate,set_number,net_let,dig_details
0,61D,serve,jump_float,-,186,-126559,4683,959,4683,April Ross,3,00,00,,,104007,0954,00.06.35,8435,1,,
1,1D,reception,middle,#,187,-8333,959,959,4683,Nina Betschart,2,00,00,,,104007,0954,00.06.35,8435,1,,
2,3A,set,~,#,189,-8334,959,959,4683,Tanja Huberli,1,00,00,,,104007,4257,00.06.35,,1,,
3,6D,attack,hard,#,191,-8333,959,959,4683,Nina Betschart,2,00,00,line,X5,104007,4885,00.06.35,8356,1,,
5,,point,,,,,959,959,4683,,,01,00,,,104007,,,,1,,
6,56D,serve,jump_float,!,210,-8333,959,959,4683,Nina Betschart,2,01,00,,,104007,0717,00.06.35,8459,1,,
7,6D,reception,right,!,211,-126559,4683,959,4683,April Ross,3,01,00,,,104007,0717,00.06.35,8459,1,,
8,3C,set,~,#,213,-126558,4683,959,4683,Alexandra Klineman,4,01,00,,,104007,4741,00.06.35,,1,,
9,6D,attack,pokey,#,215,-126559,4683,959,4683,April Ross,3,01,00,jump_angle,X3,104007,4850,00.06.35,8957,1,,
11,,point,,,,,4683,959,4683,,,01,01,,,104007,,,,1,,
12,51A,serve,jump_float,=,235,-126558,4683,959,4683,Alexandra Klineman,4,01,01,,,104007,0926,00.06.35,9613,1,,
14,,point,,,,,959,959,4683,,,02,01,,,104007,,,,1,,
15,66D,serve,standing_float_near,-,249,-8334,959,959,4683,Tanja Huberli,1,02,01,,,104007,0947,00.06.35,8656,1,,
16,6D,reception,right,+,250,-126559,4683,959,4683,April Ross,3,02,01,,,104007,0947,00.06.35,8656,1,,
17,8C,set,~,#,252,-126558,4683,959,4683,Alexandra Klineman,4,02,01,,,104007,3545,00.06.35,,1,,
18,1D,attack,shot,#,254,-126559,4683,959,4683,April Ross,3,02,01,line,X1,104007,4815,00.06.35,8623,1,,
20,,point,,,,,4683,959,4683,,,02,02,,,104007,,,,1,,
21,61C,serve,jump_float,-,277,-126559,4683,959,4683,April Ross,3,02,02,,,104007,0954,00.06.35,8334,1,,
22,1C,reception,middle,#,278,-8333,959,959,4683,Nina Betschart,2,02,02,,,104007,0954,00.06.35,8334,1,,
23,3A,set,~,#,279,-8334,959,959,4683,Tanja Huberli,1,02,02,,,104007,4157,00.06.35,,1,,
24,1C,attack,shot,#,281,-8333,959,959,4683,Nina Betschart,2,02,02,jump_angle,X4,104007,4869,00.06.35,7726,1,,
26,,point,,,,,959,959,4683,,,03,02,,,104007,,,,1,,
27,56C,serve,jump_float,!,302,-8333,959,959,4683,Nina Betschart,2,03,02,,,104007,0914,00.06.35,8156,1,,
28,6C,reception,right,!,303,-126559,4683,959,4683,April Ross,3,03,02,,,104007,0914,00.06.35,8156,1,,
29,6C,set,~,#,305,-126558,4683,959,4683,Alexandra Klineman,4,03,02,,,104007,2344,00.06.35,,1,,
30,7A,attack,hard,/,307,-126559,4683,959,4683,April Ross,3,03,02,jump_angle,V2,104007,4832,00.06.35,7665,1,,
31,,block,,#,307,-8334,959,959,4683,Tanja Huberli,1,03,02,,,104007,4863,00.06.35,,1,,
32,,free_ball,,=,307,-126558,4683,959,4683,Alexandra Klineman,4,03,02,,,104007,4351,00.06.35,,1,,
33,,point,,,,,959,959,4683,,,04,02,,,104007,,,,1,,
34,56D,serve,jump_float,-,326,-8333,959,959,4683,Nina Betschart,2,04,02,,,104007,0926,00.06.35,8360,1,,
35,6D,reception,middle,#,327,-126559,4683,959,4683,April Ross,3,04,02,,,104007,0926,00.06.35,8360,1,,
36,3A,set,~,-,329,-126558,4683,959,4683,Alexandra Klineman,4,04,02,,,104007,4250,00.06.35,,1,,
37,1B,attack,pokey,+,330,-126559,4683,959,4683,April Ross,3,04,02,line,X1,104007,4815,00.06.35,8123,1,,
38,,dig,,-,331,-8333,959,959,4683,Nina Betschart,2,04,02,,,104007,4815,00.06.35,8123,1,,after_block
39,,free_ball,,-,333,-126559,4683,959,4683,April Ross,3,04,02,,,104007,2216,00.06.35,,1,,
40,7D,set,~,#,334,-126558,4683,959,4683,Alexandra Klineman,4,04,02,,,104007,2812,00.06.35,,1,,
41,3B,attack,hard,=,336,-126559,4683,959,4683,April Ross,3,04,02,line,J2,104007,3931,00.06.35,5239,1,,
43,,point,,,,,959,959,4683,,,05,02,,,104007,,,,1,,
44,56A,serve,jump_float,-,368,-8333,959,959,4683,Nina Betschart,2,05,02,,,104007,0714,00.06.35,8440,1,,
45,6A,reception,middle,+,369,-126558,4683,959,4683,Alexandra Klineman,4,05,02,,,104007,0714,00.06.35,8440,1,,
46,3D,set,~,#,371,-126559,4683,959,4683,April Ross,3,05,02,,,104007,3847,00.06.35,,1,,
47,5A,attack,hard,=,373,-126558,4683,959,4683,Alexandra Klineman,4,05,02,jump_angle,P4,104007,4869,00.06.35,9569,1,,
49,,point,,,,,959,959,4683,,,06,02,,,104007,,,,1,,
50,56C,serve,jump_float,+,391,-8333,959,959,4683,Nina Betschart,2,06,02,,,104007,0926,00.06.35,8056,1,,
51,6C,reception,right,-,392,-126559,4683,959,4683,April Ross,3,06,02,,,104007,0926,00.06.35,8056,1,,
52,3A,set,~,#,393,-126558,4683,959,4683,Alexandra Klineman,4,06,02,,,104007,4252,00.06.35,,1,,
53,9B,attack,shot,#,395,-126559,4683,959,4683,April Ross,3,06,02,peel,X2,104007,4832,00.06.35,6922,1,,
54,,dig,,=,396,-8334,959,959,4683,Tanja Huberli,1,06,02,,,104007,4832,00.06.35,6922,1,,on_spike
